State,Hispanic_AnxDep,Hispanic_Insurance,COVID_Cases,COVID_Deaths,Unemployment_Claims
Missouri,14.454,3.69,2912,39,15544
Montana,13.5432,3.5178,86,0,2637
Nebraska,11.7612,2.3124,6057,30,3975
Nevada,15.0084,3.936,4736,143,8986
New Hampshire,13.2264,1.3284,811,17,5076
New Jersey,15.3252,2.337,79454,5045,25485
New Mexico,10.098,3.6654,5016,59,4310
New York,13.0284,2.1156,0,12414,79225
North Carolina,14.3352,4.3788,24049,140,26309
North Dakota,13.3056,2.2386,0,0,1669
Ohio,14.0976,2.0664,6259,95,29171
Oklahoma,13.8204,5.3874,3164,22,61454
Oregon,17.226,3.0504,3596,37,17537
Pennsylvania,13.86,1.3284,12300,693,37251
Rhode Island,12.7512,1.0244,10700,138,2852
South Carolina,14.058,4.9692,4116,21,16056
South Dakota,11.088,2.1648,1942,0,846
Tennessee,12.5532,3.444,14750,64,17108
Texas,15.642,6.4698,12464,342,78973
Utah,14.256,2.214,11415,35,4165
Vermont,14.3748,0.8856,55,0,1392
Virginia,13.4244,1.599,35967,299,22491
Washington,13.5432,2.5092,15377,258,26147
West Virginia,12.7512,2.7798,0,0,3464
Wisconsin,10.494,2.583,14709,146,21845
Wyoming,12.9096,4.0098,196,2,1260
Alabama,16.074,2.7375,5424,36,15861
Alaska,15.6933,3.3726,101,0,5667
Arizona,16.9623,4.161,24400,517,22377
Arkansas,16.1586,2.1681,6674,31,8599
California,16.5393,2.4309,132594,4199,240795
Colorado,13.2822,1.9929,23131,689,7997
Connecticut,16.6662,1.2045,16906,722,8805
Delaware,13.0707,2.2557,6070,55,2386
Florida,16.7931,3.5916,62954,1514,77166
Georgia,15.3549,5.4969,19712,249,104233
Hawaii,12.4362,1.2264,0,0,6588
Idaho,13.4091,2.4966,1822,12,4158
Illinois,14.4666,1.8834,88412,2654,39441
Indiana,15.1857,2.8908,9709,88,31782
Iowa,15.8202,1.5549,13372,93,6831
Kansas,13.9167,3.3945,10405,62,8107
Kentucky,16.2009,1.3797,2708,38,23780
Louisiana,19.7964,3.5259,0,122,17786
Maine,12.1401,2.0586,167,0,2584
Maryland,14.0859,1.7958,34534,634,23662
Massachusetts,14.2551,0.9198,40829,1067,25587
Michigan,13.4937,2.3871,10070,241,24836
Minnesota,12.9438,1.9929,14491,82,17083
Mississippi,15.9048,5.7597,2268,30,12387
Missouri,13.9167,3.3069,3445,45,16014
Montana,13.0707,1.4673,106,0,2439
Nebraska,13.1976,1.7739,12114,60,3690
Nevada,19.2888,3.1755,7008,149,9196
New Hampshire,14.5512,0.9636,917,19,4533
New Jersey,14.4243,1.8177,80933,5153,26151
New Mexico,17.9775,2.2995,5646,118,4298
New York,13.9167,1.3797,0,12569,76878
North Carolina,14.4243,2.6061,30105,178,25191
North Dakota,13.959,3.0441,0,0,1428
Ohio,13.3668,2.4747,7100,108,30357
Oklahoma,18.8235,4.818,3739,24,33008
Oregon,17.9352,2.0586,4410,40,11772
Pennsylvania,16.8354,1.2921,13000,729,37645
Rhode Island,13.9167,1.1607,11058,144,3104
South Carolina,14.5512,2.4528,5526,35,15114
South Dakota,13.113,3.7011,2029,0,666
Tennessee,15.4818,3.6135,17888,76,18021
Texas,15.3126,5.8911,13191,342,79774
Utah,15.7356,2.0805,13993,75,4234
Vermont,11.8017,0.3942,57,0,1522
Virginia,15.6087,2.2119,38831,330,24535
Washington,14.6781,2.2119,17451,277,27454
West Virginia,16.2432,1.6206,0,0,3123
Wisconsin,10.4058,1.6425,15772,158,21580
Wyoming,12.0132,2.409,227,2,1209
Alabama,15.3652,4.0248,6963,50,16026
Alaska,15.1084,4.4376,111,0,5396
Arizona,18.8748,5.2374,33519,644,22329
Arkansas,16.0072,3.354,8860,40,9097
California,16.3068,3.8442,154232,4573,232351
Colorado,15.9644,3.0702,24135,708,7103
Connecticut,15.1084,1.6254,17294,741,9600
Delaware,14.2096,1.8576,6297,62,2384
Florida,18.7464,4.5408,79266,1671,64848
Georgia,17.5052,4.7988,24023,265,95419
Hawaii,16.3924,1.1352,0,0,6789
Idaho,17.4196,3.483,2265,12,4432
Illinois,16.9488,2.1414,91507,2800,36329
Indiana,16.3068,3.354,10203,92,28684
Iowa,14.6804,1.9866,14075,95,7581
Kansas,13.4392,2.709,11359,64,9084
Kentucky,16.478,2.9928,3480,39,23109
Louisiana,19.2172,3.5088,0,128,22883
Maine,15.2368,2.2668625,202,0,2596
Maryland,14.3808,2.2188,35796,676,23939
Massachusetts,14.766,1.6254,41740,1111,24321
Michigan,14.8944,2.5284,11079,245,31248
Minnesota,12.7972,2.322,15691,89,16601
Mississippi,18.0188,5.1858,2646,32,10688
Missouri,15.3224,4.1022,4178,49,16154
Montana,13.0968,2.193,119,0,2350
Nebraska,13.054,2.064,12114,60,4288
Nevada,16.7348,3.1218,8361,155,10112
New Hampshire,13.8672,2.0898,983,20,4688
New Jersey,14.5092,2.8122,61059,5206,32312
New Mexico,16.7348,2.8638,6497,118,4607
New York,14.6804,1.5996,0,12711,78939
North Carolina,14.2952,4.644,36050,214,24650
North Dakota,14.552,3.6636,0,0,1385
Ohio,14.8088,1.9608,7801,117,29888
Oklahoma,18.404,4.7988,4830,24,11926
Oregon,16.6492,2.3994,5297,46,9231
Pennsylvania,16.05,1.9866,12600,744,38292
Rhode Island,15.0656,1.6512,11420,156,2856
South Carolina,16.8632,5.2116,6903,45,14430
South Dakota,14.98,4.2828,2132,0,634
Tennessee,18.1472,3.6378,21105,99,19913
Texas,17.4196,6.6822,14936,342,91582
Utah,15.7076,3.0186,17202,76,4186
Vermont,14.0384,0.9546,82,0,1731
Virginia,14.1668,2.6574,41576,366,27334
Washington,17.976,2.3736,19882,303,26902
West Virginia,19.3028,3.2766,0,0,2941
Wisconsin,12.4976,1.9092,16954,174,22419
Wyoming,14.6376,5.3664,287,2,1181
Alabama,17.1864,4.8576,8057,59,16980
Alaska,14.2786,2.4816,124,0,6727
Arizona,18.4016,3.96,42453,769,23344
Arkansas,17.8808,2.7456,11132,44,10709
California,17.0996,3.9864,181389,5044,235588
Colorado,18.4016,3.7752,24222,679,7921
Connecticut,16.926,2.112,17667,748,9524
Delaware,13.671,1.98,6538,62,2553
Florida,18.228,4.8576,101694,1870,85617
Georgia,16.492,4.4352,28461,288,104405
Hawaii,16.1014,2.0064,0,0,6564
Idaho,16.3618,2.4024,2904,12,4449
Illinois,17.0996,1.98,94511,2883,33118
Indiana,16.926,3.2472,10734,94,21627
Iowa,13.7144,1.98,14928,98,8833
Kansas,15.5372,3.3264,12516,66,10640
Kentucky,17.3166,2.2968,3807,44,20497
Louisiana,19.4432,3.4584,0,126,24758
Maine,15.7542,3.0096,242,0,3272
Maryland,15.6674,2.1912,36851,703,22605
Massachusetts,14.4956,1.2144,42530,1127,21935
Michigan,15.9278,1.9272,11522,247,26709
